"ref"	"infant_group"	"mean_age_1_days"	"z"	"n_1"	"r"	"Location"	"lang_measure"	"language_cat"	"SES_measure"	"SES_cat"	"SES_as_primary_measure"	"type_of_measure"
"Dollaghan, C. A. et al., (1999)"	"1586_2"	"1095,75"	""	NA	""	"United States"	"PPVT-R"	"PPVT"	"education_cat"	"education_based"	"yes"	"direct"
"Dollaghan, C. A. et al., (1999)"	"1586_3"	"1095,75"	""	NA	""	"United States"	"PPVT-R"	"PPVT"	"education_cat"	"education_based"	"yes"	"direct"
"Friend, M.et al., (2012)"	"1587_1_study1"	"553,9625"	"0,2401460662"	23	"0,2356337104"	"United States"	"CDI_WG"	"CDI"	"education_cat"	"education_based"	"no"	"indirect"
"Friend, M.et al., (2012)"	"1587_3_study1"	"553,9625"	""	NA	""	"United States"	"CDI_WG"	"CDI"	"education_cat"	"education_based"	"no"	"indirect"
"Friend, M.et al., (2012)"	"1587_2_study1"	"553,9625"	""	NA	""	"United States"	"CDI_WG"	"CDI"	"education_cat"	"education_based"	"no"	"indirect"
"Friend, M.et al., (2012)"	"1587_4_study1"	"553,9625"	""	NA	""	"United States"	"CDI_WG"	"CDI"	"education_cat"	"education_based"	"no"	"indirect"
"Friend, M.et al., (2012)"	"1587_regression1"	"553,9625"	""	NA	""	"United States"	"CDI_WG"	"CDI"	"education_cat"	"education_based"	"no"	"indirect"
"Friend, M.et al., (2012)"	"1587_1_study1"	"553,9625"	""	23	""	"United States"	"CCT"	"CCT"	"education_cat"	"education_based"	"no"	"direct"
"Friend, M.et al., (2012)"	"1587_3_study1"	"553,9625"	""	NA	""	"United States"	"CCT"	"CCT"	"education_cat"	"education_based"	"no"	"direct"
"Friend, M.et al., (2012)"	"1587_2_study1"	"553,9625"	""	NA	""	"United States"	"CCT"	"CCT"	"education_cat"	"education_based"	"no"	"direct"
"Friend, M.et al., (2012)"	"1587_4_study1"	"553,9625"	""	NA	""	"United States"	"CCT"	"CCT"	"education_cat"	"education_based"	"no"	"direct"
"Friend, M.et al., (2012)"	"1587_regression2"	"553,9625"	""	NA	""	"United States"	"CCT"	"CCT"	"education_cat"	"education_based"	"no"	"direct"
"McDowell, K. D. et al., (2007)"	"1326_1_highSES"	"730,5"	"0,1905464053"	92	"0,188273297"	"United States"	"PPVT-R"	"PPVT"	"other"	"income_based"	"no"	"direct"
"McDowell, K. D. et al., (2007)"	"1326_2_lowSES"	"730,5"	""	NA	""	"United States"	"PPVT-R"	"PPVT"	"other"	"income_based"	"no"	"direct"
"McDowell, K. D. et al., (2007)"	"1326_3_highSES"	"1095,75"	"0,6406307393"	237	"0,565328863"	"United States"	"PPVT-R"	"PPVT"	"other"	"income_based"	"no"	"direct"
"McDowell, K. D. et al., (2007)"	"1326_4_lowSES"	"1095,75"	""	NA	""	"United States"	"PPVT-R"	"PPVT"	"other"	"income_based"	"no"	"direct"
"Black, M. M. et al., (2008)"	"1308_regression"	"1144,45"	""	NA	""	"United States"	"PPVT-R"	"PPVT"	"education_cont"	"education_based"	"yes"	"direct"
